"","input","filtered","denoisedF","nonchim","total.loss.proportion"
"F-R-354",39883,38668,38654,38654,0.0308151342677331
"F-R-355",20062,6042,6033,6033,0.699282225102183
"F-R-356",38101,6286,6255,6255,0.835831080549067
"F-R-357",22107,6500,6483,6483,0.706744470077351
"F-R-358",22878,9978,9957,9957,0.564778389719381
"F-R-359",50623,46634,46612,46612,0.0792327598127333
"F-R-360",24218,15352,15332,15332,0.366917169047816
"F-R-361",37345,10472,10446,10446,0.720283839871469
"F-R-362",23578,5381,5337,5298,0.775299007549411
"F-R-363",40891,11623,11585,11585,0.716685823286298
"F-R-364",80620,60713,60688,60678,0.247357975688415
